country,country_long
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
AFG,Afghanistan
ALB,Albania
ALB,Albania
ALB,Albania
ALB,Albania
ALB,Albania
ALB,Albania
ALB,Albania
ALB,Albania
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
DZA,Algeria
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
AGO,Angola
ATA,Antarctica
ATA,Antarctica
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
ARG,Argentina
