fuel_id,primary_fuel
Hy,Hydro
So,Solar
So,Solar
Hy,Hydro
Hy,Hydro
Hy,Hydro
Ga,Gas
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Ot,Other
So,Solar
So,Solar
Ga,Gas
So,Solar
So,Solar
So,Solar
So,Solar
So,Solar
Ga,Gas
So,Solar
Ga,Gas
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
So,Solar
Ga,Gas
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
So,Solar
So,Solar
Hy,Hydro
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
So,Solar
So,Solar
Ga,Gas
So,Solar
Ga,Gas
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
So,Solar
So,Solar
So,Solar
So,Solar
Oi,Oil
Hy,Hydro
Hy,Hydro
Hy,Hydro
Ga,Gas
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Hy,Hydro
Ga,Gas
Hy,Hydro
Oi,Oil
Oi,Oil
Wi,Wind
Ot,Other
Ga,Gas
Hy,Hydro
Hy,Hydro
Oi,Oil
Ga,Gas
Oi,Oil
Hy,Hydro
Hy,Hydro
Nu,Nuclear
Nu,Nuclear
Oi,Oil
Oi,Oil
Hy,Hydro
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Hy,Hydro
Hy,Hydro
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Hy,Hydro
Hy,Hydro
Co,Coal
Ga,Gas
Oi,Oil
Ga,Gas
Ga,Gas
Ga,Gas
Ga,Gas
Co,Coal
Ga,Gas
Oi,Oil
Oi,Oil
Ga,Gas
Ga,Gas
Ga,Gas
Hy,Hydro
Oi,Oil
So,Solar
Hy,Hydro
Oi,Oil
Ga,Gas
Wi,Wind
Oi,Oil
Co,Coal
Ga,Gas
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Co,Coal
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Ga,Gas
Oi,Oil
Oi,Oil
Oi,Oil
Oi,Oil
Hy,Hydro
So,Solar
So,Solar
So,Solar
Ga,Gas
Ga,Gas
Ga,Gas
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Nu,Nuclear
Hy,Hydro
Oi,Oil
Ga,Gas
Ga,Gas
Hy,Hydro
Hy,Hydro
Hy,Hydro
Ga,Gas
Wi,Wind
Ga,Gas
Hy,Hydro
Oi,Oil
Ga,Gas
Hy,Hydro
Hy,Hydro
Oi,Oil
Oi,Oil
Oi,Oil
So,Solar
Hy,Hydro
Oi,Oil
Ga,Gas
Oi,Oil
Ga,Gas
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Ga,Gas
Ga,Gas
Ga,Gas
Wi,Wind
Oi,Oil
Oi,Oil
Ga,Gas
Co,Coal
Hy,Hydro
Hy,Hydro
Hy,Hydro
Hy,Hydro
Oi,Oil
Ga,Gas
Ga,Gas
Oi,Oil
Ot,Other
Wi,Wind
Wi,Wind
Wi,Wind
Wi,Wind
Wi,Wind
Wi,Wind
Wi,Wind
Oi,Oil
Ga,Gas
Oi,Oil
Wi,Wind
Ga,Gas
Hy,Hydro
Hy,Hydro
Ga,Gas
Co,Coal
Hy,Hydro
So,Solar
Ga,Gas
