latitude,longitude
32.3220,65.1190
31.6700,65.7950
31.6230,65.7920
34.5560,69.4787
34.6410,69.7170
34.4847,70.3633
34.5638,69.1134
35.9416,68.7100
34.5865,69.7757
39.9116,20.1047
42.2514,20.0431
42.1033,19.8224
41.3428,19.8964
41.6796,19.8305
41.6796,19.8936
42.0137,19.6359
40.4874,19.4340
27.9080,-0.3170
35.8800,5.4750
35.8665,6.0262
34.5320,0.8040
34.3460,3.1640
34.3420,3.1690
34.8610,4.2040
27.9080,-0.3170
36.8924,7.7634
26.9989,1.3351
36.5988,3.1375
31.2850,8.5650
36.5914,2.9223
36.5960,2.8780
35.5658,-0.9386
36.2250,6.1100
33.7270,2.8110
35.7666,7.3619
32.6020,5.8340
36.5767,2.0797
36.7489,3.0823
31.6703,6.0531
31.6703,6.0531
31.7877,6.0517
31.8065,5.9924
33.1230,3.3560
34.3420,3.1690
35.6800,5.9861
36.4739,5.2719
27.1830,2.5040
36.8139,5.8760
35.8064,-0.2476
36.8850,8.0778
32.9450,0.5550
34.5056,6.9848
35.8000,-0.1924
35.8000,-0.1924
35.7071,4.4804
33.2740,-0.3720
35.9190,7.8700
35.6800,5.9861
36.8509,3.6983
36.0100,5.0350
35.7095,-0.6319
26.7680,0.1370
35.7835,0.5407
36.1399,2.9296
36.8789,6.9366
32.9475,3.2380
36.8800,6.9350
22.8490,5.4500
35.4608,-1.2295
35.3396,1.3562
33.1319,3.3480
33.1377,3.3678
29.2200,0.2230
27.7520,-8.1540
34.6920,-0.6010
27.2410,-0.1740
-12.4706,13.7319
-12.4706,13.7319
-9.7523,14.4809
-9.7955,15.4672
-8.8383,13.2344
-12.7600,15.7500
-12.3700,13.5700
-8.8383,13.2344
-8.8383,13.2344
-5.5500,12.2000
-14.7333,15.0333
-15.1961,12.1522
-7.3000,20.8500
-15.3333,15.0000
-77.8470,166.6605
-77.8428,166.7271
-38.9368,-68.3556
-38.9368,-68.3556
-34.5792,-68.9892
-40.5800,-70.7489
-34.8386,-58.4033
-38.9524,-68.0218
-39.2145,-70.9157
-33.0452,-69.0516
-39.1009,-68.5982
-33.9670,-59.2059
-33.9674,-59.2045
-23.8219,-64.7847
-41.1167,-71.4167
-32.1883,-64.3233
-26.2545,-53.6469
-34.2605,-62.7107
-35.0241,-58.4237
-27.7534,-57.6205
-25.2712,-65.3298
-33.0291,-69.1109
-25.1089,-66.2106
-26.0715,-65.9876
-28.4537,-65.7841
-28.4773,-65.7872
-28.4684,-65.7797
-38.2143,-67.1908
-31.3992,-64.2006
-38.7872,-62.2536
-38.5127,-68.6048
-38.0620,-67.9463
-34.9027,-58.7334
-34.9027,-58.7334
-31.7112,-60.7811
-24.7456,-65.0513
-24.6894,-65.0425
-27.7528,-64.2655
-22.3497,-63.7664
-34.7208,-58.3881
-34.6268,-58.5438
-24.6894,-65.0425
-32.5778,-60.7910
-31.5192,-68.9814
-29.1578,-67.5069
-31.9881,-68.5402
-38.9121,-67.9427
-25.6669,-54.0419
-25.9913,-54.6278
-45.8467,-67.4964
-27.4708,-58.8042
-34.6260,-58.3393
-33.0349,-68.7971
-30.7636,-64.7538
-32.1613,-64.1537
-43.0907,-65.2298
-38.8706,-70.5753
-27.0922,-54.8625
-34.0414,-60.1297
-28.4431,-62.8569
-28.4431,-62.8569
-41.1497,-71.2633
-32.6103,-62.6864
-35.1364,-60.4311
-34.1636,-59.7683
-28.4706,-65.7647
-38.0528,-70.6136
-29.8883,-61.9297
-27.2369,-61.1939
-29.1581,-67.5072
-38.9133,-67.9414
-33.9222,-61.0769
-32.4767,-58.2672
-27.4708,-58.8042
-38.6871,-62.3961
-34.8597,-57.9557
-30.0550,-59.5294
-26.1764,-58.2094
-35.0347,-62.9981
-29.1583,-59.2728
-26.8666,-65.2247
-23.9078,-61.8342
-28.4733,-65.7275
-33.2425,-62.3950
-25.9564,-60.6204
-34.5708,-60.9161
-34.9344,-58.0160
-29.3811,-66.8325
-29.3808,-66.8319
-25.1286,-58.2597
-37.0781,-57.8181
-37.0781,-57.8181
-27.0289,-58.6997
-40.8421,-68.0869
-34.8578,-61.5206
-35.1917,-59.0808
-35.1001,-57.4839
-34.3931,-58.8372
-37.4102,-68.9000
-38.2472,-57.8242
-36.9439,-60.2361
-23.1258,-64.3069
-31.7764,-60.4553
-28.5339,-65.7997
-27.3236,-58.5667
-35.8336,-61.8758
-37.0953,-56.8789
-25.6786,-59.0756
-26.9955,-65.1660
-31.2567,-61.5203
-35.0550,-64.2406
-31.8919,-60.0106
-26.8156,-60.4114
-26.8153,-60.4125
-27.4597,-65.6055
-34.5252,-58.6206
-26.9955,-65.1660
-34.5252,-58.6206
-28.2628,-58.0006
-22.5406,-63.8056
-28.4289,-65.7878
-28.0486,-67.5667
-26.9955,-65.1660
-33.7736,-61.9564
-31.8919,-60.0106
-27.5808,-60.7094
-39.0872,-67.0881
-30.1833,-69.0667
-26.0400,-65.9300
-33.6100,-65.4450
-23.8000,-66.8000
-31.3934,-64.2059
-34.8902,-57.9330
-34.6533,-58.3420
-26.6156,-65.1929
-33.2993,-68.7199
-39.2577,-68.7483
-34.6100,-68.6136
-25.2323,-64.4762
-32.2316,-64.4422
-27.6589,-65.7633
-30.0102,-59.5321
-34.6270,-58.3382
-37.2742,-69.6520
-32.1784,-64.4207
-43.6996,-66.4815
-43.1288,-71.6300
-28.6072,-65.1228
-37.4309,-64.7160
-34.0364,-63.9217
-33.0449,-68.9219
-29.1388,-59.2277
-29.1388,-59.2277
-39.5600,-65.6817
-40.0120,-69.9918
-33.2422,-62.3946
-27.4252,-57.3341
-27.5785,-56.6726
-30.3400,-69.2700
-38.8367,-68.0380
-29.1762,-56.6394
-34.8890,-57.9206
-29.3823,-66.8325
-27.4184,-55.9097
-31.8708,-65.0349
-24.4438,-65.2203
-34.6000,-68.5285
-31.8380,-64.4452
-31.8380,-64.4452
-27.6509,-64.3618
-34.6028,-68.6383
-33.0551,-68.9810
-36.7208,-63.1977
-38.0495,-57.5460
-39.2291,-62.6497
-28.0441,-58.2285
-29.1808,-58.0793
-33.1608,-64.3656
-38.5785,-58.7108
-34.9907,-68.6237
-34.9039,-68.6177
-34.8821,-68.5760
-34.8330,-68.5168
-26.2072,-64.2477
-34.5721,-58.3835
-27.5019,-55.1245
-38.6851,-59.7804
-33.3549,-60.1718
-28.6684,-66.7524
-28.6684,-66.7524
-45.7458,-67.6953
-45.8507,-67.9081
-43.0907,-65.2298
-43.3522,-65.1734
-43.3522,-65.1734
-29.7148,-57.0933
-45.7934,-67.5145
-29.3400,-58.6077
-46.8065,-67.9808
-46.7842,-67.9498
-31.6651,-63.8314
-32.1675,-64.2438
-31.6651,-63.8314
-31.6662,-63.8344
-28.5339,-65.7997
-31.3891,-68.6752
-31.5129,-68.5399
-27.1149,-65.7523
-42.7069,-65.1048
-34.5754,-58.3788
-38.7833,-61.8984
-31.2567,-61.5203
-24.9830,-65.6860
-33.1614,-64.3649
-53.7862,-67.7222
-27.5225,-64.8861
-38.8244,-64.8296
-31.3891,-68.6752
-31.4391,-62.1119
-40.1511,-71.3340
-33.3562,-60.1729
-26.6253,-54.1102
