name,capacity_mw
Kajaki Hydroelectric Power Plant Afghanistan,33.0
Kandahar DOG,10.0
Kandahar JOL,10.0
Mahipar Hydroelectric Power Plant Afghanistan,66.0
Naghlu Dam Hydroelectric Power Plant Afghanistan,100.0
Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,11.55
Northwest Kabul Power Plant Afghanistan,42.0
Pul-e-Khumri Hydroelectric Power Plant Afghanistan,6.0
Sarobi Dam Hydroelectric Power Plant Afghanistan,22.0
Bistrica 1,27.0
Fierza,500.0
Koman,600.0
Lanabregas,5.0
Shkopet,24.0
Ulez,25.0
Vau i Dijes,250.0
Vlora,98.0
Adrar,20.0
Ain Azel,20.0
Ain Djasser,520.0
Ain Sekhouna,20.0
Ain el Ibel I,20.0
Ain el Ibel II,53.0
Ain el Melh,20.0
Algerie Sud-Ouest,43.5
Annaba,71.0
Aoulef,5.0
Arbaa,560.0
Bir Rebaa,10.0
Boufarik 1,100.0
Boufarik 2,450.0
Boutelilis,450.0
Chelghoum El Aïd,15.0
El Kheneg,60.0
F'Krina,292.0
HPC Ouargla,30.0
Hadjret Ennous,1200.0
Hamma 2,418.0
Hassi Messaoud Mobile,72.0
Hassi Messoud,600.0
Hassi Messoud Nord 2,200.0
Hassi Messoud Ouest,492.0
Hassi R'mel ISCC,20.0
Hauts Plateaux Centre,106.6
Hauts Plateaux Est,73.8
Ighil Emda,24.0
In Salah,5.0
Jijel,588.0
Kahrama IPP,345.0
Koudiet Eddraouch,1200.0
Labiodh Sidi Cheikh,20.0
Labreg,396.0
Marsat,840.0
Marsat TG,184.0
Msila 1,980.0
Naâma,19.9
Oued El Kebrit,15.0
Oued el Ma,20.0
Ras Djinet,672.0
Ras el Oued,20.0
Ravin Blanc,73.0
Reggane,5.0
Relizane,465.0
SKB IPP,484.0
SKS IPP SNC Lavalin,815.0
SPP1 Thermal,150.0
Skikda,262.0
Tamanrasset,13.0
Terga,1200.0
Tiaret,300.0
Tilghemt 1,200.0
Tilghemt 2,600.0
Timimoun,9.0
Tindouf,9.0
Télagh,12.0
Zaouiet Kounta,6.0
Biopio,22.8
Biopio (hydro),14.6
Cambambe,180.0
Capanda,520.0
Cazenga,132.0
Huambo,16.26
Lobito,20.0
Luanda Diesel,58.0
Luanda Refinery,18.5
Malongo,10.0
Matala,40.0
Namibe,11.68
Rio Luachimo,16.0
Xitoto,11.34
McMurdo Station Generator,6.6
Ross Island,1.0
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),479.2
AGUA DEL CAJON (GENERADOR DEL MEM),192.0
AGUA DEL TORO,130.0
ALICURA,1050.0
ALMIRANTE BROWN,25.0
ALTO VALLE,97.5
ALUMINE,1.904
ALVAREZ CONDARCO,50.7
ARROYITO,128.0
ATUCHA I,370.0
ATUCHA II,745.0
BANDERA,31.0
BARILOCHE (PUERTO  MORENO),5.736000000000001
BENJAMIN REOLIN,38.4
BERNARDO  DE IRIGOYEN,2.096
C.T. RUFINO,31.900000000000002
C.T. SAN VICENTE,27.6
CAA CATI,1.415
CABRA CORRAL,102.0
CACHEUTA (NUEVA),120.0
CACHI,1.07
CAFAYATE,4.182
CAPITAL CATAMARCA - PREDIO CHOYA,5.728
CAPITAL CATAMARCA - PREDIO EX CARCEL,7.075
CAPITAL CATAMARCA - PREDIO RIPIERA,4.675
CASA DE PIEDRA,60.0
CASSAFFOUSTH,17.28
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,620.0
CENTRAL LOMA DE LA LATA SA,540.0
CENTRAL PARQUE INDUSTRIAL LA BANDA,11.228
CENTRAL T.GENELBA,673.6
CENTRAL T.GENELBA PLUS,164.55
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),280.0
CENTRAL TERMICA DE CICLO COMBINADO SALTA,643.0
CENTRAL TERMICA GÜEMES SA,361.0
CENTRAL TERMICA LA BANDA,32.0
CENTRAL TERMICA PIQUIRENDA SA,30.44
CENTRAL TERMICA REMEDIOS DE ESCALADA,25.0
CENTRAL TERMOELECTRICA GUILLERMO BROWN,524.0
CENTRAL TERMOELECTRICA MANUEL BELGRANO,868.2
CENTRAL TERMOELECTRICA TIMBUES,865.1400000000001
CH LOS CARACOLES,121.4
CHILECITO,5.0
CHIMBERA 1,2.0
CIPOLLETTI,5.78
COMANDANTE ANDRESITO,2.372
COMODORO RIVADAVIA,141.02
COMODORO RIVADAVIA - ANTONIO MORAN,16.56
CORRIENTES,1.4000000000000001
COSTANERA,1982.2
CRUZ DE PIEDRA,17.94
CRUZ DEL EJE,5.052
CT 13 DE JULIO,26.0
CT ALEM,15.0
CT ALUMINE,6.3
CT ARISTOBULO DEL VALLE,15.0
CT ARRECIFES,20.0
CT AÑATUYA,19.2
CT AÑATUYA II,11.5
CT BARILOCHE,20.0
CT BELL VILLE,15.620000000000001
CT BRAGADO,49.800000000000004
CT CAPITAN SARMIENTO,5.0
CT CATAMARCA,19.2
CT CAVIAHUE,5.0
CT CERES,18.0
CT CHARATA,19.400000000000002
CT CHILECITO,10.0
CT CIPOLLETTI,5.0
CT COLON BUENOS AIRES,15.3
CT CONCEPCION DEL URUGUAY,41.78
CT CORRIENTES,20.0
CT ECOENERGIA (PETROBRAS),13.200000000000001
CT ENSENADA DE BARRAGAN,567.0
CT ESQUINA,16.5
CT FORMOSA II,30.0
CT GENERAL VILLEGAS,23.490000000000002
CT GOYA,13.0
CT INDEPENDENCIA,120.0
CT INGENIERO JUAREZ,4.0
CT INTA CATAMARCA,7.04
CT ISLA VERDE,24.5
CT JUAN JOSE CASTELLI,15.0
CT JUNIN,22.0
CT LA PLATA,40.4
CT LA RIOJA DELIVERY,19.2
CT LA RIOJA SUR,10.0
CT LAGUNA BLANCA,7.0
CT LAS ARMAS,10.4
CT LAS ARMAS II,23.37
CT LAS PALMAS,6.0
CT LIBERTADOR GENERAL SAN MARTIN,15.0
CT LINCOLN,15.002
CT LOBOS,15.686
CT MAGDALENA,25.0
CT MATHEU,41.0
CT MEDANITOS (RINCON DE LOS SAUCES),32.0
CT MIRAMAR I,20.0
CT OLAVARRIA,38.800000000000004
CT ORAN,15.0
CT PARANA,40.0
CT PARQUE INDUSTRIAL CATAMARCA,15.0
CT PASO DE LA PATRIA,7.2
CT PEHUAJO,22.400000000000002
CT PINAMAR,21.0
CT PIRANE,16.25
CT PLUSPETROL NORTE,246.0
CT RAFAELA,19.2
CT REALICO,24.0
CT ROCA,130.0
CT SAENZ PEÑA  I,20.0
CT SAENZ PEÑA  II,15.0
CT SALTO,22.5
CT SAN MARTIN NORTE III,5.1000000000000005
CT SAN MIGUEL DE TUCUMAN,396.62
CT SAN MIGUEL NORTE III,11.5
CT SANTA ROSA,6.0
CT TARTAGAL,10.0
CT TEREVINTOS,8.0
CT TINOGASTA,15.0
CT TUCUMAN,438.0
CT VENADO TUERTO,19.2
CT VIALE,10.0
CT VILLA ANGELA,15.0
CT VILLA REGINA,5.0
CUESTA DEL VIENTO,10.55
Cafayate,80.0
Caldenes del Oeste,30.0
Cauchari,300.0
DEAN FUNES,70.12
DIQUE,68.44
DOCK SUD,872.3
EL CADILLAL,14.0
EL CARRIZAL,17.0
EL CHOCON,1200.0
EL TIGRE,14.4
EL TUNAL,11.0
EMBALSE,648.0
ESCABA,24.0
ESQUINA,2.215
EX CENTRAL BUENOS AIRES,321.0
FILO MORADO,67.5
FITZ SIMON,10.8
FLORENTINO AMEGHINO,60.0
FUTALEUFU,472.0
GENERACION FRIAS SA,60.0
GENERAL ACHA,1.8
GENERAL LEVALLE,72.78
GENERAL SAN MARTIN,6.0
GOYA,1.33
GOYA (ELECTROPATAGONIA SA),17.3
GUILLERMO CESPEDES,5.2
H. PICHI PICUN LEUFU,285.0
ISLA VERDE,3.115
ITA IBATE,1.052
ITUZAINGO,1.33
Iglesia-Guañizuil,80.0
JULIAN  ROMERO,6.2
LA CRUZ,1.33
LA PLATA COGENERACION,128.0
LA RIOJA,42.0
LA TABLADA,22.150000000000002
LA VIÑA,16.0
LAS MADERAS,30.0
LOS CORONELES (EX 25  DE MAYO),6.6000000000000005
LOS MOLINOS I,59.04
LOS MOLINOS II,4.5
LOS QUIROGA,2.5
LOS REYUNOS,224.0
LUJAN DE CUYO,549.76
MAR DE AJO,34.0
MAR DEL PLATA (9 DE JULIO),201.3
MAYOR BURATOVICH,2.02
MBURUCUYA,1.035
MERCEDES,2.308
MODESTO MARANZANA,250.0
NECOCHEA,206.0
NIHUIL I,74.24
NIHUIL II,133.12
NIHUIL III,52.0
NIHUIL IV,22.400000000000002
NUEVA ESPERANZA,3.38
NUEVO PUERTO,1217.7
OBERA (TG Nº21 FIAT ),17.2
ORENSE,1.72
PARANA,845.26
PARQUE EOLICO ARAUCO SAPEM I,25.2
PARQUE EOLICO ARAUCO SAPEM II,25.2
PARQUE EOLICO DIADEMA,6.3
PARQUE EOLICO EL TORDILLO,3.0
